data,nivel cm
2005-01-01,313
2005-01-02,315
2005-01-03,317
2005-01-04,323
2005-01-05,325
2005-01-06,328
2005-01-07,330
2005-01-08,333
2005-01-09,338
2005-01-10,342
2005-01-11,345
2005-01-12,348
2005-01-13,352
2005-01-14,356
2005-01-15,358
2005-01-16,358
2005-01-17,358
2005-01-18,358
2005-01-19,356
2005-01-20,356
2005-01-21,354
2005-01-22,354
2005-01-23,354
2005-01-24,358
2005-01-25,360
2005-01-26,363
2005-01-27,366
2005-01-28,368
2005-01-29,370
2005-01-30,374
2005-01-31,376
2005-02-01,379
2005-02-02,387
2005-02-03,394
2005-02-04,397
2005-02-05,400
2005-02-06,403
2005-02-07,405
2005-02-08,406
2005-02-09,408
2005-02-10,410
2005-02-11,412
2005-02-12,414
2005-02-13,415
2005-02-14,417
2005-02-15,420
2005-02-16,422
2005-02-17,428
2005-02-18,434
2005-02-19,438
2005-02-20,442
2005-02-21,446
2005-02-22,448
2005-02-23,450
2005-02-24,452
2005-02-25,454
2005-02-26,454
2005-02-27,456
2005-02-28,458
2005-03-01,458
2005-03-02,464
2005-03-03,468
2005-03-04,472
2005-03-05,480
2005-03-06,488
2005-03-07,498
2005-03-08,508
2005-03-09,518
2005-03-10,528
2005-03-11,532
2005-03-12,543
2005-03-13,563
2005-03-14,574
2005-03-15,580
2005-03-16,586
2005-03-17,590
2005-03-18,594
2005-03-19,596
2005-03-20,598
2005-03-21,600
2005-03-22,604
2005-03-23,608
2005-03-24,612
2005-03-25,616
2005-03-26,623
2005-03-27,636
2005-03-28,644
2005-03-29,650
2005-03-30,654
2005-03-31,660
2005-04-01,662
2005-04-02,664
2005-04-03,664
2005-04-04,664
2005-04-05,664
2005-04-06,668
2005-04-07,670
2005-04-08,672
2005-04-09,676
2005-04-10,680
2005-04-11,680
2005-04-12,680
2005-04-13,680
2005-04-14,681
2005-04-15,682
2005-04-16,680
2005-04-17,678
2005-04-18,676
2005-04-19,674
2005-04-20,672
2005-04-21,672
2005-04-22,670
2005-04-23,674
2005-04-24,676
2005-04-25,676
2005-04-26,676
2005-04-27,676
2005-04-28,678
2005-04-29,678
2005-04-30,680
2005-05-01,682
2005-05-02,680
2005-05-03,680
