ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2005-01-01,412.484301,174.28149147085392,300.907577352726,412.484301,412.484301,-177.11647217149877,-177.11647217149877,-177.11647217149877,-0.11505053589205103,-0.11505053589205103,-0.11505053589205103,-177.00142163560673,-177.00142163560673,-177.00142163560673,0.0,0.0,0.0,235.36782882850125
2005-01-02,412.63012724675696,174.40833462091544,308.88728432187594,412.63012724675696,412.63012724675696,-172.13760885862112,-172.13760885862112,-172.13760885862112,-0.08353906302918854,-0.08353906302918854,-0.08353906302918854,-172.05406979559194,-172.05406979559194,-172.05406979559194,0.0,0.0,0.0,240.49251838813584
2005-01-03,412.775953493514,178.99838196917509,309.8686979778545,412.775953493514,412.775953493514,-166.89143225995096,-166.89143225995096,-166.89143225995096,0.19924884569490156,0.19924884569490156,0.19924884569490156,-167.09068110564587,-167.09068110564587,-167.09068110564587,0.0,0.0,0.0,245.88452123356305
2005-01-04,412.92177974027095,188.12898594984227,312.63710167161764,412.92177974027095,412.92177974027095,-162.10022501855215,-162.10022501855215,-162.10022501855215,0.01657240228806099,0.01657240228806099,0.01657240228806099,-162.11679742084021,-162.11679742084021,-162.11679742084021,0.0,0.0,0.0,250.8215547217188
2005-01-05,413.067605987028,190.3688437275988,314.4970709240979,413.067605987028,413.067605987028,-157.25951851977658,-157.25951851977658,-157.25951851977658,-0.12148259635448427,-0.12148259635448427,-0.12148259635448427,-157.1380359234221,-157.1380359234221,-157.1380359234221,0.0,0.0,0.0,255.80808746725143
2005-01-06,413.21343223378494,194.1964423496742,324.01067371915275,413.21343223378494,413.21343223378494,-152.09584578030953,-152.09584578030953,-152.09584578030953,0.06422142509998573,0.06422142509998573,0.06422142509998573,-152.16006720540952,-152.16006720540952,-152.16006720540952,0.0,0.0,0.0,261.1175864534754
2005-01-07,413.359258480542,203.60132938427498,328.1974496116615,413.359258480542,413.359258480542,-147.14855718641758,-147.14855718641758,-147.14855718641758,0.040029522192474874,0.040029522192474874,0.040029522192474874,-147.18858670861005,-147.18858670861005,-147.18858670861005,0.0,0.0,0.0,266.2107012941244
2005-01-08,413.50508472729894,205.602760582995,338.2776066084945,413.50508472729894,413.50508472729894,-142.34432998993842,-142.34432998993842,-142.34432998993842,-0.11505053589212978,-0.11505053589212978,-0.11505053589212978,-142.2292794540463,-142.2292794540463,-142.2292794540463,0.0,0.0,0.0,271.16075473736055
2005-01-09,413.65091097405593,217.0398184488864,340.6567779262256,413.65091097405593,413.65091097405593,-137.37131733401603,-137.37131733401603,-137.37131733401603,-0.08353906302902966,-0.08353906302902966,-0.08353906302902966,-137.28777827098702,-137.28777827098702,-137.28777827098702,0.0,0.0,0.0,276.27959364003993
2005-01-10,413.79673722081293,211.8832307595704,344.85022227449093,413.79673722081293,413.79673722081293,-132.17036716964756,-132.17036716964756,-132.17036716964756,0.19924884569491383,0.19924884569491383,0.19924884569491383,-132.36961601534247,-132.36961601534247,-132.36961601534247,0.0,0.0,0.0,281.6263700511654
2005-01-11,413.9425634675699,219.69483950208075,354.8948147017801,413.9425634675699,413.9425634675699,-127.46360013652081,-127.46360013652081,-127.46360013652081,0.016572402288452685,0.016572402288452685,0.016572402288452685,-127.48017253880926,-127.48017253880926,-127.48017253880926,0.0,0.0,0.0,286.4789633310491
